,topic1,topic2
482,0.8551638,0.14483622
483,0.23527211,0.7647279
484,0.090155706,0.9098443
485,0.2345636,0.76543635
486,0.51312643,0.48687363
487,0.11260845,0.8873915
488,0.11386712,0.8861329
489,0.23512125,0.76487875
490,0.11302845,0.88697153
491,0.09209968,0.90790033
492,0.8541768,0.14582314
493,0.77588564,0.22411434
494,0.056154665,0.94384533
495,0.49779335,0.5022066
496,0.09676412,0.90323585
497,0.775732,0.22426802
498,0.15508747,0.8449125
499,0.49576598,0.504234
500,0.092100926,0.907899
501,0.9261655,0.07383441
502,0.51312643,0.48687363
503,0.8554777,0.14452226
504,0.85516375,0.14483622
505,0.7766756,0.22332443
506,0.64788586,0.35211417
507,0.9039422,0.096057735
508,0.5127516,0.48724845
509,0.51312643,0.48687363
510,0.77668405,0.22331597
511,0.32605237,0.67394763
512,0.15461433,0.8453857
513,0.15506105,0.844939
514,0.09010359,0.9098964
515,0.8294962,0.17050375
516,0.51312643,0.48687363
517,0.5486827,0.45131734
518,0.2951491,0.7048509
519,0.09029686,0.90970314
520,0.23485689,0.7651431
521,0.48444626,0.5155538
522,0.23527248,0.7647275
523,0.77573514,0.22426483
524,0.8514162,0.14858383
525,0.5795685,0.42043152
526,0.11266197,0.88733804
527,0.23671918,0.7632808
528,0.15241078,0.8475892
529,0.07755631,0.9224437
530,0.15482314,0.8451769
531,0.94404835,0.05595165
532,0.77604955,0.22395045
533,0.11281713,0.8871829
534,0.11266197,0.88733804
535,0.23671964,0.76328033
536,0.15241197,0.847588
537,0.11382054,0.88617945
538,0.7743465,0.22565353
539,0.7137177,0.2862823
540,0.15188335,0.8481167
541,0.1129536,0.8870464
542,0.15292919,0.8470708
543,0.15277056,0.8472294
544,0.7769607,0.22303936
545,0.1521915,0.84780854
546,0.23527387,0.7647261
547,0.77573496,0.22426501
548,0.9269539,0.07304602
549,0.11266198,0.88733804
550,0.15278831,0.8472117
551,0.12241765,0.8775824
552,0.8552751,0.14472492
553,0.8553687,0.14463133
554,0.1519103,0.84808975
555,0.23594564,0.76405436
556,0.15207346,0.84792656
557,0.15745887,0.84254116
558,0.11276389,0.8872361
559,0.36328322,0.6367168
560,0.15233114,0.8476689
561,0.3645107,0.63548934
562,0.40442201,0.59557796
563,0.51312643,0.48687363
564,0.063035905,0.9369641
565,0.112255804,0.8877442
566,0.23512019,0.76487976
567,0.8549734,0.14502661
568,0.8412933,0.15870671
569,0.056930404,0.9430696
570,0.15187036,0.8481297
571,0.11314138,0.8868586
572,0.51312643,0.48687363
573,0.15274398,0.847256
574,0.23511852,0.7648815
575,0.2941393,0.70586073
576,0.77588594,0.22411408
577,0.23662987,0.7633701
578,0.7757432,0.22425678
579,0.51312643,0.48687363
580,0.7757145,0.22428542
581,0.15200283,0.8479972
582,0.85527503,0.14472495
583,0.11235092,0.88764906
584,0.32833597,0.67166406
585,0.85536313,0.14463687
586,0.51312643,0.48687363
587,0.05502265,0.94497734
588,0.37226945,0.62773055
589,0.055272073,0.9447279
590,0.11386684,0.88613313
591,0.115569614,0.8844304
592,0.15508753,0.8449124
593,0.54670405,0.453296
594,0.1520031,0.84799695
595,0.51312643,0.48687363
596,0.15461877,0.84538126
597,0.15284222,0.8471578
598,0.25992966,0.74007034
599,0.15200323,0.8479968
600,0.51312643,0.48687363
601,0.15163662,0.84836334
602,0.15185817,0.84814185
603,0.51312643,0.48687363
604,0.08899447,0.9110055
605,0.51312643,0.48687363
606,0.23572731,0.76427275
607,0.7757464,0.22425358
608,0.06298139,0.93701863
609,0.7689875,0.23101251
610,0.26707453,0.7329255
611,0.51312643,0.48687363
612,0.76898205,0.23101796
613,0.055041537,0.94495845
614,0.07432267,0.92567736
615,0.15201928,0.84798074
616,0.05501478,0.9449852
617,0.11249317,0.8875068
618,0.51312643,0.48687363
619,0.15313424,0.8468658
620,0.85527146,0.14472856
621,0.06308103,0.9369189
622,0.31522837,0.68477166
623,0.15201911,0.84798086
624,0.072959155,0.9270408
625,0.08912597,0.910874
626,0.51312643,0.48687363
627,0.0569449,0.9430551
628,0.08912597,0.910874
629,0.89277005,0.10722994
630,0.07374084,0.9262592
631,0.08912598,0.910874
632,0.3690891,0.63091093
633,0.1520187,0.8479813
634,0.05297971,0.9470203
635,0.23592705,0.76407295
636,0.23615716,0.7638428
637,0.089125976,0.910874
638,0.15620928,0.8437907
639,0.0737409,0.9262591
640,0.08912583,0.9108742
641,0.51312643,0.48687363
642,0.054994516,0.9450055
643,0.08912584,0.9108742
644,0.092026465,0.9079735
645,0.07565625,0.9243437
646,0.15201856,0.84798145
647,0.05499434,0.94500566
648,0.089125805,0.9108742
649,0.2352728,0.76472723
650,0.06302609,0.93697387
651,0.08912572,0.9108743
652,0.08083998,0.91916
653,0.15201877,0.8479813
654,0.077873416,0.92212653
655,0.7757466,0.22425343
656,0.074175864,0.9258241
657,0.23664135,0.76335865
658,0.15197474,0.84802526
659,0.23686476,0.76313525
660,0.06298152,0.93701845
661,0.23485723,0.7651428
662,0.8540662,0.14593379
663,0.04878675,0.95121324
664,0.15196916,0.8480308
665,0.15201905,0.8479809
666,0.7937484,0.2062516
667,0.9296131,0.070386894
668,0.79919183,0.20080821
669,0.51312643,0.48687363
670,0.5077051,0.49229485
671,0.23642285,0.76357716
672,0.11227566,0.88772434
673,0.3237172,0.67628276
674,0.11290087,0.88709915
675,0.27879494,0.721205
676,0.51312643,0.48687363
677,0.51312643,0.48687363
678,0.51312643,0.48687363
679,0.51312643,0.48687363
680,0.13209349,0.8679065
681,0.12192797,0.878072
682,0.4337899,0.56621015
683,0.1522827,0.8477173
684,0.51312643,0.48687363
685,0.2369971,0.76300293
686,0.51312643,0.48687363
687,0.10996822,0.8900318
688,0.15306504,0.846935
689,0.17490083,0.8250992
690,0.51312643,0.48687363
691,0.23538421,0.7646158
692,0.10934096,0.8906591
693,0.7755007,0.22449932
694,0.74229324,0.2577068
695,0.51312643,0.48687363
696,0.66134727,0.33865273
697,0.25518435,0.7448157
698,0.51312643,0.48687363
699,0.92158985,0.07841012
700,0.503591,0.496409
701,0.77671075,0.22328924
702,0.43034157,0.56965846
703,0.33905268,0.6609473
704,0.51312643,0.48687363
705,0.51312643,0.48687363
706,0.8919051,0.10809488
707,0.91513914,0.084860876
708,0.23583356,0.7641665
709,0.3756358,0.6243642
710,0.51312643,0.48687363
711,0.8603228,0.13967723
712,0.9493535,0.050646503
713,0.91490257,0.08509738
714,0.7775096,0.2224904
715,0.23536243,0.7646376
716,0.7757582,0.22424178
717,0.50827867,0.49172133
718,0.70987105,0.29012895
719,0.2372806,0.7627194
720,0.51312643,0.48687363
721,0.077549554,0.9224504
722,0.34615487,0.65384513
723,0.88347375,0.11652621
724,0.09493395,0.9050661
725,0.9247848,0.075215235
726,0.8995676,0.100432396
727,0.51312643,0.48687363
728,0.15296157,0.8470384
729,0.51312643,0.48687363
730,0.15272355,0.84727645
731,0.7771584,0.22284164
