,token_id,token,cunt,topic_1,topic_2
97,97,目標,8,0.006357091013342142,0.00044067343696951866
98,98,観光客,6,0.000669388216920197,0.004613729193806648
99,99,内,5,0.0003962810733355582,0.004131993744522333
100,100,後志,3,0.0004177781520411372,0.002601149259135127
101,101,間,3,0.0004304042086005211,0.002588520059362054
102,102,北,3,0.00039568738429807127,0.0026232339441776276
103,103,向上,13,0.000427150895120576,0.010138570331037045
104,104,推進,24,0.009186162613332272,0.00968899391591549
105,105,工事,21,0.0004117980133742094,0.016191354021430016
106,106,取り組み,31,0.0005086044548079371,0.023641373962163925
107,107,新駅,3,0.0023746148217469454,0.0006460167351178825
108,108,相,4,0.003392056794837117,0.00038430263521149755
109,109,型,5,0.0008831327431835234,0.0036454747896641493
110,110,環境,16,0.012381605803966522,0.00045912028872407973
111,111,観光都市,3,0.002637836616486311,0.00038315652636811137
